File Path,Label
D:\deepfake-detector\data\frames\fake\172_582\172_582_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\307_365\307_365_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\661\661_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\734_699\734_699_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\262\262_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\817_827\817_827_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\885\885_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\945_044\945_044_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\526\526_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\973\973_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\518_131\518_131_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\real\690\690_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\341_340\341_340_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\real\174\174_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\738_804\738_804_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\622_647\622_647_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\fake\586_223\586_223_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\570\570_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\491_226\491_226_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\603_575\603_575_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\244\244_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\613\613_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\498_433\498_433_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\379_158\379_158_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\931_936\931_936_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\730_815\730_815_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\405\405_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\389\389_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\045_889\045_889_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\real\449\449_frame8.jpg,REAL
D:\deepfake-detector\data\frames\real\164\164_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\851\851_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\081_087\081_087_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\100\100_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\721\721_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\261\261_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\112_892\112_892_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\fake\569_921\569_921_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\324\324_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\202\202_frame7.jpg,REAL
D:\deepfake-detector\data\frames\real\989\989_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\673_728\673_728_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\fake\907_795\907_795_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\997\997_frame5.jpg,REAL
D:\deepfake-detector\data\frames\real\356\356_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\221\221_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\593_577\593_577_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\342_416\342_416_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\520\520_frame6.jpg,REAL
D:\deepfake-detector\data\frames\fake\767_694\767_694_frame5.jpg,FAKE
D:\deepfake-detector\data\frames\real\712\712_frame3.jpg,REAL
D:\deepfake-detector\data\frames\real\225\225_frame5.jpg,REAL
D:\deepfake-detector\data\frames\fake\177_211\177_211_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\846_845\846_845_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\fake\145_299\145_299_frame9.jpg,FAKE
D:\deepfake-detector\data\frames\real\282\282_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\818_820\818_820_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\975_978\975_978_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\real\655\655_frame4.jpg,REAL
D:\deepfake-detector\data\frames\real\279\279_frame9.jpg,REAL
D:\deepfake-detector\data\frames\fake\235_194\235_194_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\924\924_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\639_841\639_841_frame3.jpg,FAKE
D:\deepfake-detector\data\frames\fake\030_193\030_193_frame7.jpg,FAKE
D:\deepfake-detector\data\frames\fake\581_697\581_697_frame0.jpg,FAKE
D:\deepfake-detector\data\frames\fake\804_738\804_738_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\950\950_frame4.jpg,REAL
D:\deepfake-detector\data\frames\fake\095_053\095_053_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\901_902\901_902_frame1.jpg,FAKE
D:\deepfake-detector\data\frames\real\405\405_frame1.jpg,REAL
D:\deepfake-detector\data\frames\real\948\948_frame8.jpg,REAL
D:\deepfake-detector\data\frames\fake\709_390\709_390_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\710\710_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\749\749_frame2.jpg,REAL
D:\deepfake-detector\data\frames\fake\241_210\241_210_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\123_119\123_119_frame2.jpg,FAKE
D:\deepfake-detector\data\frames\fake\645_688\645_688_frame8.jpg,FAKE
D:\deepfake-detector\data\frames\real\858\858_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\964_174\964_174_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\fake\611_760\611_760_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\184\184_frame6.jpg,REAL
D:\deepfake-detector\data\frames\real\013\013_frame2.jpg,REAL
D:\deepfake-detector\data\frames\real\886\886_frame1.jpg,REAL
D:\deepfake-detector\data\frames\fake\589_565\589_565_frame6.jpg,FAKE
D:\deepfake-detector\data\frames\real\215\215_frame0.jpg,REAL
D:\deepfake-detector\data\frames\real\924\924_frame7.jpg,REAL
D:\deepfake-detector\data\frames\fake\634_660\634_660_frame4.jpg,FAKE
D:\deepfake-detector\data\frames\real\699\699_frame9.jpg,REAL
D:\deepfake-detector\data\frames\real\461\461_frame9.jpg,REAL
